Brand,Title,Price,Size,Reviews,Stars,Category,Colors 
Yves Saint Laurent,dessin du regard waterproof long lasting waterproof eye pencil,$30.00,0.04 oz,140 reviews,3.9714,Makeup>Eye Makeup>Eyeliner>,1 Black Ink|10 Violet Massa|11 Pourpre Intense|12 Bleu Lumiere|13  Bleu Egee|2 Patent Leather|5 Shimmering Burgundy|6 Amazon Green
Lancôme,hypnose custom volume mascara,$27.50,,755 reviews,4.3907,Makeup>Eye Makeup>Mascara>,Black|Brown
Ciaté London,cooling shadow slick tm eyeshadow primer,$16.00,0.16 oz,5 reviews,3.6,Makeup>Eye Makeup>Eyeshadow Primer & Base>,Daquiri|Frozen|Ice Box|Popsicle|Ski Bunny|Snow Cone
Touch In Sol,mini magic mascara duo set,$15.00,2 x 0.14 oz,12 reviews,3.8333,Makeup>Eye Makeup>Mascara>,Black
bareMinerals,bareminerals correcting concealer broad spectrum spf 20,$20.00,0.07 oz,553 reviews,3.9313,Makeup>Face Makeup>Concealer>,Dark 2|Deep 2|Light 1|Light 2|Medium 1|Medium 2|Tan 1|Tan 2
tarte,picture perfect duo,$18.00,,1131 reviews,4.0486,Tools & Brushes>Small Tools>Eyelash Curlers>,Picture Perfect Duo
SEPHORA COLLECTION,pro angled liner brush 22,$16.00,,117 reviews,3.9231,Makeup>Eye Makeup>Eye Brushes>,
CLINIQUE,blushwear cream stick,$22.00,,235 reviews,4.417,Makeup>Face Makeup>Blush>,Rosy Blush|Shy Blush
Buxom,buxom full bodied lip gloss,$19.00,0.15 oz,251 reviews,4.494,Makeup>Lips>Lip Gloss>,Dolly|Hello Lover|Hey Baby|Hot Mama|MWAH|OH LA LA|OMG|Sweet Thing|Va Va Voom|YOW|Yes You
Bobbi Brown,blush brush,$54.00,,76 reviews,4.5658,Makeup>Face Makeup>Face Brushes>,
SEPHORA COLLECTION,pro small stippling brush 42,$32.00,,44 reviews,3.6136,Tools & Brushes>Makeup Brushes & Applicators>Face Brushes>,
