Brand,Title,Price,Size,Reviews,Stars,Category,Colors 
NARS,light reflecting pressed setting powder,$36.00,,530 reviews,4.0,Makeup>Face Makeup>Face Powder>,Translucent Crystal
Herbivore,coco rose coconut oil lip polish,$18.00,0.17 oz,not rated,0.0,Skin Care>Lip Balm & Treatments>,
Anastasia Beverly Hills,brow gel,$22.00,0.28 oz,2035 reviews,4.4639,Makeup>Eye Makeup>Eyebrows>,Clear
Benefit Cosmetics,theyre real push up liner,$24.00,0.04 oz,3338 reviews,2.8235,Makeup>Eye Makeup>Eyeliner>,Beyond Blue|Beyond Brown|Beyond Green|Beyond Purple|Black
Estée Lauder,pure color envy sculpting eyeshadow 5 color palette,$50.00,,3 reviews,3.6667,Makeup>Eye Makeup>Eyeshadow Palettes & Eye Sets>,YNC4--06|YNC4-01|YNC4-05|YNC4-07|YNC4-09|YNC4-10
Tata Harper,volumizing lip cheek tint,$35.00,0.15 oz,4 reviews,4.5,Makeup>Lips>Lip Stain>,Very Charming|Very Sweet|Very Vivacious
Yves Saint Laurent,baby doll kiss blush lips cheeks,$40.00,0.33 oz,187 reviews,4.2834,Makeup>Face Makeup>Blush>,01 Fuchsia Desinvolte|02 Rose Frivole|03 Rose Libre|04 Orange Fougueux|05 Rouge Effrontee|06 Rouge Libertine|07 Corail Affranchi|08 Pink Hedoniste|09 Rose Epicurien|10 Nude Insolent|11 Prune Impertinente|12 Mocha Garconne
SEPHORA COLLECTION,express cleansing wipes to go,$4.00,10,300 reviews,3.98,Skin Care>Face Wash & Cleanser>,
Guerlain,rouge automatique hydrating and long lasting lipstick,$37.00,0.12 oz,231 reviews,4.4416,Makeup>Lips>Lipstick>,Bal de Mai 160|Champs Elysees 165|Coque D'Or 120|Fleur de Feu 142|Nahema 143|Pink Fluo 662|Rouge D'Enfer 121
Hourglass,film noir full spectrum mascara,$28.00,0.35 oz,322 reviews,4.2484,Makeup>Eye Makeup>Mascara>,Onyx
